period,state,sector,description,index_value,yoy_pct
2025-05-01,All India,rural,General Index (All Groups),101.78,
2025-05-01,All India,urban,General Index (All Groups),102.06,
2025-05-01,Andaman And Nicobar Islands,combined,General Index (All Groups),102.85,
2025-05-01,Andaman And Nicobar Islands,rural,General Index (All Groups),103.19,
2025-05-01,Andaman And Nicobar Islands,urban,General Index (All Groups),102.5,
2025-05-01,Andhra Pradesh,combined,General Index (All Groups),101.11,
2025-05-01,Andhra Pradesh,rural,General Index (All Groups),100.9,
2025-05-01,Andhra Pradesh,urban,General Index (All Groups),101.43,
2025-05-01,Arunachal Pradesh,combined,General Index (All Groups),101.73,
2025-05-01,Arunachal Pradesh,rural,General Index (All Groups),101.75,
2025-05-01,Arunachal Pradesh,urban,General Index (All Groups),101.67,
2025-05-01,Assam,combined,General Index (All Groups),101.29,
2025-05-01,Assam,rural,General Index (All Groups),101.21,
2025-05-01,Assam,urban,General Index (All Groups),101.57,
2025-05-01,Bihar,combined,General Index (All Groups),101.48,
2025-05-01,Bihar,rural,General Index (All Groups),101.45,
2025-05-01,Bihar,urban,General Index (All Groups),101.62,
2025-05-01,Chandigarh,combined,General Index (All Groups),102.06,
2025-05-01,Chandigarh,urban,General Index (All Groups),102.06,
2025-05-01,Chhattisgarh,combined,General Index (All Groups),100.04,
2025-05-01,Chhattisgarh,rural,General Index (All Groups),99.7,
2025-05-01,Chhattisgarh,urban,General Index (All Groups),100.69,
2025-05-01,Goa,combined,General Index (All Groups),102.34,
2025-05-01,Goa,rural,General Index (All Groups),102.58,
2025-05-01,Goa,urban,General Index (All Groups),102.21,
2025-05-01,Gujarat,combined,General Index (All Groups),101.49,
2025-05-01,Gujarat,rural,General Index (All Groups),101.24,
2025-05-01,Gujarat,urban,General Index (All Groups),101.66,
2025-05-01,Haryana,combined,General Index (All Groups),102.48,
2025-05-01,Haryana,rural,General Index (All Groups),102.34,
2025-05-01,Haryana,urban,General Index (All Groups),102.61,
2025-05-01,Himachal Pradesh,combined,General Index (All Groups),102.46,
2025-05-01,Himachal Pradesh,rural,General Index (All Groups),102.39,
2025-05-01,Himachal Pradesh,urban,General Index (All Groups),102.79,
2025-05-01,Jammu And Kashmir,combined,General Index (All Groups),102.8,
2025-05-01,Jammu And Kashmir,rural,General Index (All Groups),103.02,
2025-05-01,Jammu And Kashmir,urban,General Index (All Groups),102.22,
2025-05-01,Jharkhand,combined,General Index (All Groups),100.53,
2025-05-01,Jharkhand,rural,General Index (All Groups),100.62,
2025-05-01,Jharkhand,urban,General Index (All Groups),100.35,
2025-05-01,Karnataka,combined,General Index (All Groups),102.44,
2025-05-01,Karnataka,rural,General Index (All Groups),102.63,
2025-05-01,Karnataka,urban,General Index (All Groups),102.24,
2025-05-01,Kerala,combined,General Index (All Groups),102.85,
2025-05-01,Kerala,rural,General Index (All Groups),103.17,
2025-05-01,Kerala,urban,General Index (All Groups),102.59,
2025-05-01,Ladakh,combined,General Index (All Groups),103.19,
2025-05-01,Ladakh,rural,General Index (All Groups),103.28,
2025-05-01,Ladakh,urban,General Index (All Groups),102.93,
2025-05-01,Lakshadweep,combined,General Index (All Groups),102.64,
2025-05-01,Lakshadweep,rural,General Index (All Groups),102.27,
2025-05-01,Lakshadweep,urban,General Index (All Groups),102.77,
2025-05-01,Madhya Pradesh,combined,General Index (All Groups),101.89,
2025-05-01,Madhya Pradesh,rural,General Index (All Groups),101.98,
2025-05-01,Madhya Pradesh,urban,General Index (All Groups),101.76,
2025-05-01,Maharashtra,combined,General Index (All Groups),102.26,
2025-05-01,Maharashtra,rural,General Index (All Groups),102.16,
2025-05-01,Maharashtra,urban,General Index (All Groups),102.32,
2025-05-01,Manipur,combined,General Index (All Groups),100.71,
2025-05-01,Manipur,rural,General Index (All Groups),100.2,
2025-05-01,Manipur,urban,General Index (All Groups),101.78,
2025-05-01,Meghalaya,combined,General Index (All Groups),102.43,
2025-05-01,Meghalaya,rural,General Index (All Groups),102.59,
2025-05-01,Meghalaya,urban,General Index (All Groups),101.95,
2025-05-01,Mizoram,combined,General Index (All Groups),102.16,
2025-05-01,Mizoram,rural,General Index (All Groups),102.54,
2025-05-01,Mizoram,urban,General Index (All Groups),101.89,
2025-05-01,Nagaland,combined,General Index (All Groups),102.05,
2025-05-01,Nagaland,rural,General Index (All Groups),102.47,
2025-05-01,Nagaland,urban,General Index (All Groups),101.38,
2025-05-01,Nct Of Delhi,combined,General Index (All Groups),101.36,
2025-05-01,Nct Of Delhi,rural,General Index (All Groups),99.78,
2025-05-01,Nct Of Delhi,urban,General Index (All Groups),101.39,
2025-05-01,Odisha,combined,General Index (All Groups),100.59,
2025-05-01,Odisha,rural,General Index (All Groups),100.43,
2025-05-01,Odisha,urban,General Index (All Groups),101.02,
2025-05-01,Puducherry,combined,General Index (All Groups),102.1,
2025-05-01,Puducherry,rural,General Index (All Groups),101.98,
2025-05-01,Puducherry,urban,General Index (All Groups),102.15,
2025-05-01,Punjab,combined,General Index (All Groups),102.76,
2025-05-01,Punjab,rural,General Index (All Groups),102.93,
2025-05-01,Punjab,urban,General Index (All Groups),102.56,
2025-05-01,Rajasthan,combined,General Index (All Groups),102.06,
2025-05-01,Rajasthan,rural,General Index (All Groups),101.92,
2025-05-01,Rajasthan,urban,General Index (All Groups),102.33,
2025-05-01,Sikkim,combined,General Index (All Groups),102.59,
2025-05-01,Sikkim,rural,General Index (All Groups),102.65,
2025-05-01,Sikkim,urban,General Index (All Groups),102.49,
2025-05-01,Tamil Nadu,combined,General Index (All Groups),101.93,
2025-05-01,Tamil Nadu,rural,General Index (All Groups),101.7,
2025-05-01,Tamil Nadu,urban,General Index (All Groups),102.11,
2025-05-01,Telangana,combined,General Index (All Groups),102.47,
2025-05-01,Telangana,rural,General Index (All Groups),102.35,
2025-05-01,Telangana,urban,General Index (All Groups),102.55,
2025-05-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),101.5,
2025-05-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),101.57,
2025-05-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),101.47,
2025-05-01,Tripura,combined,General Index (All Groups),100.93,
2025-05-01,Tripura,rural,General Index (All Groups),101.03,
2025-05-01,Tripura,urban,General Index (All Groups),100.58,
2025-05-01,Uttar Pradesh,combined,General Index (All Groups),101.98,
2025-05-01,Uttar Pradesh,rural,General Index (All Groups),101.86,
2025-05-01,Uttar Pradesh,urban,General Index (All Groups),102.24,
2025-05-01,Uttarakhand,combined,General Index (All Groups),102.55,
2025-05-01,Uttarakhand,rural,General Index (All Groups),102.72,
2025-05-01,Uttarakhand,urban,General Index (All Groups),102.26,
2025-05-01,West Bengal,combined,General Index (All Groups),101.53,
2025-05-01,West Bengal,rural,General Index (All Groups),101.2,
2025-05-01,West Bengal,urban,General Index (All Groups),101.94,
2025-06-01,All India,combined,General Index (All Groups),102.51,
2025-06-01,All India,rural,General Index (All Groups),102.39,
2025-06-01,All India,urban,General Index (All Groups),102.66,
2025-06-01,Andaman And Nicobar Islands,combined,General Index (All Groups),104.22,
2025-06-01,Andaman And Nicobar Islands,rural,General Index (All Groups),105.21,
2025-06-01,Andaman And Nicobar Islands,urban,General Index (All Groups),103.21,
2025-06-01,Andhra Pradesh,combined,General Index (All Groups),101.41,
2025-06-01,Andhra Pradesh,rural,General Index (All Groups),101.12,
2025-06-01,Andhra Pradesh,urban,General Index (All Groups),101.87,
2025-06-01,Arunachal Pradesh,combined,General Index (All Groups),102.38,
2025-06-01,Arunachal Pradesh,rural,General Index (All Groups),102.51,
2025-06-01,Arunachal Pradesh,urban,General Index (All Groups),102.02,
2025-06-01,Assam,combined,General Index (All Groups),101.59,
2025-06-01,Assam,rural,General Index (All Groups),101.52,
2025-06-01,Assam,urban,General Index (All Groups),101.86,
2025-06-01,Bihar,combined,General Index (All Groups),101.96,
2025-06-01,Bihar,rural,General Index (All Groups),101.94,
2025-06-01,Bihar,urban,General Index (All Groups),102.07,
2025-06-01,Chandigarh,combined,General Index (All Groups),102.87,
2025-06-01,Chandigarh,urban,General Index (All Groups),102.87,
2025-06-01,Chhattisgarh,combined,General Index (All Groups),100.58,
2025-06-01,Chhattisgarh,rural,General Index (All Groups),100.25,
2025-06-01,Chhattisgarh,urban,General Index (All Groups),101.21,
2025-06-01,Goa,combined,General Index (All Groups),102.66,
2025-06-01,Goa,rural,General Index (All Groups),103.01,
2025-06-01,Goa,urban,General Index (All Groups),102.47,
2025-06-01,Gujarat,combined,General Index (All Groups),102.19,
2025-06-01,Gujarat,rural,General Index (All Groups),101.99,
2025-06-01,Gujarat,urban,General Index (All Groups),102.33,
2025-06-01,Haryana,combined,General Index (All Groups),102.93,
2025-06-01,Haryana,rural,General Index (All Groups),102.87,
2025-06-01,Haryana,urban,General Index (All Groups),102.99,
2025-06-01,Himachal Pradesh,combined,General Index (All Groups),103.2,
2025-06-01,Himachal Pradesh,rural,General Index (All Groups),103.2,
2025-06-01,Himachal Pradesh,urban,General Index (All Groups),103.21,
2025-06-01,Jammu And Kashmir,combined,General Index (All Groups),103.06,
2025-06-01,Jammu And Kashmir,rural,General Index (All Groups),103.29,
2025-06-01,Jammu And Kashmir,urban,General Index (All Groups),102.45,
2025-06-01,Jharkhand,combined,General Index (All Groups),101.22,
2025-06-01,Jharkhand,rural,General Index (All Groups),101.37,
2025-06-01,Jharkhand,urban,General Index (All Groups),100.93,
2025-06-01,Karnataka,combined,General Index (All Groups),103.0,
2025-06-01,Karnataka,rural,General Index (All Groups),103.12,
2025-06-01,Karnataka,urban,General Index (All Groups),102.88,
2025-06-01,Kerala,combined,General Index (All Groups),104.35,
2025-06-01,Kerala,rural,General Index (All Groups),104.75,
2025-06-01,Kerala,urban,General Index (All Groups),104.02,
2025-06-01,Ladakh,combined,General Index (All Groups),103.17,
2025-06-01,Ladakh,rural,General Index (All Groups),103.3,
2025-06-01,Ladakh,urban,General Index (All Groups),102.77,
2025-06-01,Lakshadweep,combined,General Index (All Groups),103.8,
2025-06-01,Lakshadweep,rural,General Index (All Groups),103.25,
2025-06-01,Lakshadweep,urban,General Index (All Groups),104.01,
2025-06-01,Madhya Pradesh,combined,General Index (All Groups),102.24,
2025-06-01,Madhya Pradesh,rural,General Index (All Groups),102.3,
2025-06-01,Madhya Pradesh,urban,General Index (All Groups),102.14,
2025-06-01,Maharashtra,combined,General Index (All Groups),102.99,
2025-06-01,Maharashtra,rural,General Index (All Groups),102.98,
2025-06-01,Maharashtra,urban,General Index (All Groups),102.99,
2025-06-01,Manipur,combined,General Index (All Groups),101.17,
2025-06-01,Manipur,rural,General Index (All Groups),100.62,
2025-06-01,Manipur,urban,General Index (All Groups),102.33,
2025-06-01,Meghalaya,combined,General Index (All Groups),102.99,
2025-06-01,Meghalaya,rural,General Index (All Groups),103.26,
2025-06-01,Meghalaya,urban,General Index (All Groups),102.24,
2025-06-01,Mizoram,combined,General Index (All Groups),102.24,
2025-06-01,Mizoram,rural,General Index (All Groups),102.69,
2025-06-01,Mizoram,urban,General Index (All Groups),101.9,
2025-06-01,Nagaland,combined,General Index (All Groups),102.74,
2025-06-01,Nagaland,rural,General Index (All Groups),103.5,
2025-06-01,Nagaland,urban,General Index (All Groups),101.53,
2025-06-01,Nct Of Delhi,combined,General Index (All Groups),101.74,
2025-06-01,Nct Of Delhi,rural,General Index (All Groups),100.54,
2025-06-01,Nct Of Delhi,urban,General Index (All Groups),101.77,
2025-06-01,Odisha,combined,General Index (All Groups),101.06,
2025-06-01,Odisha,rural,General Index (All Groups),100.98,
2025-06-01,Odisha,urban,General Index (All Groups),101.29,
2025-06-01,Puducherry,combined,General Index (All Groups),102.94,
2025-06-01,Puducherry,rural,General Index (All Groups),102.66,
2025-06-01,Puducherry,urban,General Index (All Groups),103.06,
2025-06-01,Punjab,combined,General Index (All Groups),103.45,
2025-06-01,Punjab,rural,General Index (All Groups),103.57,
2025-06-01,Punjab,urban,General Index (All Groups),103.31,
2025-06-01,Rajasthan,combined,General Index (All Groups),102.63,
2025-06-01,Rajasthan,rural,General Index (All Groups),102.51,
2025-06-01,Rajasthan,urban,General Index (All Groups),102.85,
2025-06-01,Sikkim,combined,General Index (All Groups),102.98,
2025-06-01,Sikkim,rural,General Index (All Groups),103.05,
2025-06-01,Sikkim,urban,General Index (All Groups),102.83,
2025-06-01,Tamil Nadu,combined,General Index (All Groups),102.78,
2025-06-01,Tamil Nadu,rural,General Index (All Groups),102.61,
2025-06-01,Tamil Nadu,urban,General Index (All Groups),102.91,
2025-06-01,Telangana,combined,General Index (All Groups),102.98,
2025-06-01,Telangana,rural,General Index (All Groups),102.85,
2025-06-01,Telangana,urban,General Index (All Groups),103.07,
2025-06-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),102.7,
2025-06-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),102.78,
2025-06-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),102.67,
2025-06-01,Tripura,combined,General Index (All Groups),101.83,
2025-06-01,Tripura,rural,General Index (All Groups),102.01,
2025-06-01,Tripura,urban,General Index (All Groups),101.23,
2025-06-01,Uttar Pradesh,combined,General Index (All Groups),102.51,
2025-06-01,Uttar Pradesh,rural,General Index (All Groups),102.41,
2025-06-01,Uttar Pradesh,urban,General Index (All Groups),102.71,
2025-06-01,Uttarakhand,combined,General Index (All Groups),103.2,
2025-06-01,Uttarakhand,rural,General Index (All Groups),103.6,
2025-06-01,Uttarakhand,urban,General Index (All Groups),102.51,
2025-06-01,West Bengal,combined,General Index (All Groups),102.03,
2025-06-01,West Bengal,rural,General Index (All Groups),101.78,
2025-06-01,West Bengal,urban,General Index (All Groups),102.34,
2025-07-01,All India,combined,General Index (All Groups),103.35,
2025-07-01,All India,rural,General Index (All Groups),103.34,
2025-07-01,All India,urban,General Index (All Groups),103.36,
2025-07-01,Andaman And Nicobar Islands,combined,General Index (All Groups),104.96,
2025-07-01,Andaman And Nicobar Islands,rural,General Index (All Groups),105.85,
2025-07-01,Andaman And Nicobar Islands,urban,General Index (All Groups),104.05,
2025-07-01,Andhra Pradesh,combined,General Index (All Groups),101.88,
2025-07-01,Andhra Pradesh,rural,General Index (All Groups),101.58,
2025-07-01,Andhra Pradesh,urban,General Index (All Groups),102.34,
2025-07-01,Arunachal Pradesh,combined,General Index (All Groups),102.49,
2025-07-01,Arunachal Pradesh,rural,General Index (All Groups),102.59,
2025-07-01,Arunachal Pradesh,urban,General Index (All Groups),102.22,
2025-07-01,Assam,combined,General Index (All Groups),102.14,
2025-07-01,Assam,rural,General Index (All Groups),102.22,
2025-07-01,Assam,urban,General Index (All Groups),101.87,
2025-07-01,Bihar,combined,General Index (All Groups),103.14,
2025-07-01,Bihar,rural,General Index (All Groups),103.17,
2025-07-01,Bihar,urban,General Index (All Groups),102.94,
2025-07-01,Chandigarh,combined,General Index (All Groups),103.59,
2025-07-01,Chandigarh,urban,General Index (All Groups),103.59,
2025-07-01,Chhattisgarh,combined,General Index (All Groups),102.16,
2025-07-01,Chhattisgarh,rural,General Index (All Groups),101.97,
2025-07-01,Chhattisgarh,urban,General Index (All Groups),102.52,
2025-07-01,Goa,combined,General Index (All Groups),102.84,
2025-07-01,Goa,rural,General Index (All Groups),103.3,
2025-07-01,Goa,urban,General Index (All Groups),102.59,
2025-07-01,Gujarat,combined,General Index (All Groups),103.1,
2025-07-01,Gujarat,rural,General Index (All Groups),103.07,
2025-07-01,Gujarat,urban,General Index (All Groups),103.12,
2025-07-01,Haryana,combined,General Index (All Groups),104.04,
2025-07-01,Haryana,rural,General Index (All Groups),104.06,
2025-07-01,Haryana,urban,General Index (All Groups),104.01,
2025-07-01,Himachal Pradesh,combined,General Index (All Groups),104.05,
2025-07-01,Himachal Pradesh,rural,General Index (All Groups),104.08,
2025-07-01,Himachal Pradesh,urban,General Index (All Groups),103.89,
2025-07-01,Jammu And Kashmir,combined,General Index (All Groups),103.72,
2025-07-01,Jammu And Kashmir,rural,General Index (All Groups),104.05,
2025-07-01,Jammu And Kashmir,urban,General Index (All Groups),102.87,
2025-07-01,Jharkhand,combined,General Index (All Groups),103.15,
2025-07-01,Jharkhand,rural,General Index (All Groups),103.37,
2025-07-01,Jharkhand,urban,General Index (All Groups),102.71,
2025-07-01,Karnataka,combined,General Index (All Groups),103.36,
2025-07-01,Karnataka,rural,General Index (All Groups),103.38,
2025-07-01,Karnataka,urban,General Index (All Groups),103.34,
2025-07-01,Kerala,combined,General Index (All Groups),105.24,
2025-07-01,Kerala,rural,General Index (All Groups),105.57,
2025-07-01,Kerala,urban,General Index (All Groups),104.98,
2025-07-01,Ladakh,combined,General Index (All Groups),103.05,
2025-07-01,Ladakh,rural,General Index (All Groups),103.15,
2025-07-01,Ladakh,urban,General Index (All Groups),102.75,
2025-07-01,Lakshadweep,combined,General Index (All Groups),104.56,
2025-07-01,Lakshadweep,rural,General Index (All Groups),103.43,
2025-07-01,Lakshadweep,urban,General Index (All Groups),104.98,
2025-07-01,Madhya Pradesh,combined,General Index (All Groups),103.35,
2025-07-01,Madhya Pradesh,rural,General Index (All Groups),103.47,
2025-07-01,Madhya Pradesh,urban,General Index (All Groups),103.18,
2025-07-01,Maharashtra,combined,General Index (All Groups),103.47,
2025-07-01,Maharashtra,rural,General Index (All Groups),103.76,
2025-07-01,Maharashtra,urban,General Index (All Groups),103.28,
2025-07-01,Manipur,combined,General Index (All Groups),101.26,
2025-07-01,Manipur,rural,General Index (All Groups),100.69,
2025-07-01,Manipur,urban,General Index (All Groups),102.47,
2025-07-01,Meghalaya,combined,General Index (All Groups),103.26,
2025-07-01,Meghalaya,rural,General Index (All Groups),103.51,
2025-07-01,Meghalaya,urban,General Index (All Groups),102.55,
2025-07-01,Mizoram,combined,General Index (All Groups),102.35,
2025-07-01,Mizoram,rural,General Index (All Groups),102.74,
2025-07-01,Mizoram,urban,General Index (All Groups),102.05,
2025-07-01,Nagaland,combined,General Index (All Groups),102.91,
2025-07-01,Nagaland,rural,General Index (All Groups),103.69,
2025-07-01,Nagaland,urban,General Index (All Groups),101.66,
2025-07-01,Nct Of Delhi,combined,General Index (All Groups),102.62,
2025-07-01,Nct Of Delhi,rural,General Index (All Groups),101.69,
2025-07-01,Nct Of Delhi,urban,General Index (All Groups),102.64,
2025-07-01,Odisha,combined,General Index (All Groups),102.13,
2025-07-01,Odisha,rural,General Index (All Groups),102.12,
2025-07-01,Odisha,urban,General Index (All Groups),102.17,
2025-07-01,Puducherry,combined,General Index (All Groups),103.63,
2025-07-01,Puducherry,rural,General Index (All Groups),103.59,
2025-07-01,Puducherry,urban,General Index (All Groups),103.64,
2025-07-01,Punjab,combined,General Index (All Groups),104.48,
2025-07-01,Punjab,rural,General Index (All Groups),104.69,
2025-07-01,Punjab,urban,General Index (All Groups),104.23,
2025-07-01,Rajasthan,combined,General Index (All Groups),103.71,
2025-07-01,Rajasthan,rural,General Index (All Groups),103.6,
2025-07-01,Rajasthan,urban,General Index (All Groups),103.9,
2025-07-01,Sikkim,combined,General Index (All Groups),103.25,
2025-07-01,Sikkim,rural,General Index (All Groups),103.2,
2025-07-01,Sikkim,urban,General Index (All Groups),103.34,
2025-07-01,Tamil Nadu,combined,General Index (All Groups),103.16,
2025-07-01,Tamil Nadu,rural,General Index (All Groups),103.04,
2025-07-01,Tamil Nadu,urban,General Index (All Groups),103.25,
2025-07-01,Telangana,combined,General Index (All Groups),103.52,
2025-07-01,Telangana,rural,General Index (All Groups),103.47,
2025-07-01,Telangana,urban,General Index (All Groups),103.56,
2025-07-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),103.85,
2025-07-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),104.36,
2025-07-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),103.68,
2025-07-01,Tripura,combined,General Index (All Groups),102.22,
2025-07-01,Tripura,rural,General Index (All Groups),102.39,
2025-07-01,Tripura,urban,General Index (All Groups),101.67,
2025-07-01,Uttar Pradesh,combined,General Index (All Groups),103.59,
2025-07-01,Uttar Pradesh,rural,General Index (All Groups),103.48,
2025-07-01,Uttar Pradesh,urban,General Index (All Groups),103.82,
2025-07-01,Uttarakhand,combined,General Index (All Groups),104.05,
2025-07-01,Uttarakhand,rural,General Index (All Groups),104.54,
2025-07-01,Uttarakhand,urban,General Index (All Groups),103.21,
2025-07-01,West Bengal,combined,General Index (All Groups),103.1,
2025-07-01,West Bengal,rural,General Index (All Groups),103.06,
2025-07-01,West Bengal,urban,General Index (All Groups),103.15,
2025-08-01,All India,combined,General Index (All Groups),103.74,
2025-08-01,All India,rural,General Index (All Groups),103.84,
2025-08-01,All India,urban,General Index (All Groups),103.6,
2025-08-01,Andaman And Nicobar Islands,combined,General Index (All Groups),105.13,
2025-08-01,Andaman And Nicobar Islands,rural,General Index (All Groups),106.23,
2025-08-01,Andaman And Nicobar Islands,urban,General Index (All Groups),103.99,
2025-08-01,Andhra Pradesh,combined,General Index (All Groups),102.34,
2025-08-01,Andhra Pradesh,rural,General Index (All Groups),102.1,
2025-08-01,Andhra Pradesh,urban,General Index (All Groups),102.72,
2025-08-01,Arunachal Pradesh,combined,General Index (All Groups),103.09,
2025-08-01,Arunachal Pradesh,rural,General Index (All Groups),103.24,
2025-08-01,Arunachal Pradesh,urban,General Index (All Groups),102.67,
2025-08-01,Assam,combined,General Index (All Groups),102.33,
2025-08-01,Assam,rural,General Index (All Groups),102.37,
2025-08-01,Assam,urban,General Index (All Groups),102.15,
2025-08-01,Bihar,combined,General Index (All Groups),103.63,
2025-08-01,Bihar,rural,General Index (All Groups),103.79,
2025-08-01,Bihar,urban,General Index (All Groups),102.7,
2025-08-01,Chandigarh,combined,General Index (All Groups),103.96,
2025-08-01,Chandigarh,urban,General Index (All Groups),103.96,
2025-08-01,Chhattisgarh,combined,General Index (All Groups),102.76,
2025-08-01,Chhattisgarh,rural,General Index (All Groups),102.84,
2025-08-01,Chhattisgarh,urban,General Index (All Groups),102.59,
2025-08-01,Goa,combined,General Index (All Groups),103.06,
2025-08-01,Goa,rural,General Index (All Groups),103.47,
2025-08-01,Goa,urban,General Index (All Groups),102.83,
2025-08-01,Gujarat,combined,General Index (All Groups),102.89,
2025-08-01,Gujarat,rural,General Index (All Groups),102.75,
2025-08-01,Gujarat,urban,General Index (All Groups),102.99,
2025-08-01,Haryana,combined,General Index (All Groups),104.74,
2025-08-01,Haryana,rural,General Index (All Groups),104.88,
2025-08-01,Haryana,urban,General Index (All Groups),104.6,
2025-08-01,Himachal Pradesh,combined,General Index (All Groups),104.85,
2025-08-01,Himachal Pradesh,rural,General Index (All Groups),104.89,
2025-08-01,Himachal Pradesh,urban,General Index (All Groups),104.6,
2025-08-01,Jammu And Kashmir,combined,General Index (All Groups),104.25,
2025-08-01,Jammu And Kashmir,rural,General Index (All Groups),104.61,
2025-08-01,Jammu And Kashmir,urban,General Index (All Groups),103.35,
2025-08-01,Jharkhand,combined,General Index (All Groups),104.23,
2025-08-01,Jharkhand,rural,General Index (All Groups),104.83,
2025-08-01,Jharkhand,urban,General Index (All Groups),103.06,
2025-08-01,Karnataka,combined,General Index (All Groups),103.62,
2025-08-01,Karnataka,rural,General Index (All Groups),103.68,
2025-08-01,Karnataka,urban,General Index (All Groups),103.56,
2025-08-01,Kerala,combined,General Index (All Groups),104.95,
2025-08-01,Kerala,rural,General Index (All Groups),105.5,
2025-08-01,Kerala,urban,General Index (All Groups),104.5,
2025-08-01,Ladakh,combined,General Index (All Groups),103.5,
2025-08-01,Ladakh,rural,General Index (All Groups),103.62,
2025-08-01,Ladakh,urban,General Index (All Groups),103.14,
2025-08-01,Lakshadweep,combined,General Index (All Groups),105.27,
2025-08-01,Lakshadweep,rural,General Index (All Groups),103.72,
2025-08-01,Lakshadweep,urban,General Index (All Groups),105.86,
2025-08-01,Madhya Pradesh,combined,General Index (All Groups),103.7,
2025-08-01,Madhya Pradesh,rural,General Index (All Groups),103.8,
2025-08-01,Madhya Pradesh,urban,General Index (All Groups),103.53,
2025-08-01,Maharashtra,combined,General Index (All Groups),103.49,
2025-08-01,Maharashtra,rural,General Index (All Groups),103.81,
2025-08-01,Maharashtra,urban,General Index (All Groups),103.28,
2025-08-01,Manipur,combined,General Index (All Groups),101.56,
2025-08-01,Manipur,rural,General Index (All Groups),100.84,
2025-08-01,Manipur,urban,General Index (All Groups),103.08,
2025-08-01,Meghalaya,combined,General Index (All Groups),103.61,
2025-08-01,Meghalaya,rural,General Index (All Groups),103.9,
2025-08-01,Meghalaya,urban,General Index (All Groups),102.8,
2025-08-01,Mizoram,combined,General Index (All Groups),102.31,
2025-08-01,Mizoram,rural,General Index (All Groups),102.71,
2025-08-01,Mizoram,urban,General Index (All Groups),102.01,
2025-08-01,Nagaland,combined,General Index (All Groups),103.37,
2025-08-01,Nagaland,rural,General Index (All Groups),104.18,
2025-08-01,Nagaland,urban,General Index (All Groups),102.08,
2025-08-01,Nct Of Delhi,combined,General Index (All Groups),103.34,
2025-08-01,Nct Of Delhi,rural,General Index (All Groups),101.8,
2025-08-01,Nct Of Delhi,urban,General Index (All Groups),103.37,
2025-08-01,Odisha,combined,General Index (All Groups),102.71,
2025-08-01,Odisha,rural,General Index (All Groups),102.69,
2025-08-01,Odisha,urban,General Index (All Groups),102.75,
2025-08-01,Puducherry,combined,General Index (All Groups),103.71,
2025-08-01,Puducherry,rural,General Index (All Groups),103.96,
2025-08-01,Puducherry,urban,General Index (All Groups),103.6,
2025-08-01,Punjab,combined,General Index (All Groups),105.0,
2025-08-01,Punjab,rural,General Index (All Groups),105.19,
2025-08-01,Punjab,urban,General Index (All Groups),104.78,
2025-08-01,Rajasthan,combined,General Index (All Groups),104.13,
2025-08-01,Rajasthan,rural,General Index (All Groups),104.2,
2025-08-01,Rajasthan,urban,General Index (All Groups),104.01,
2025-08-01,Sikkim,combined,General Index (All Groups),103.81,
2025-08-01,Sikkim,rural,General Index (All Groups),103.71,
2025-08-01,Sikkim,urban,General Index (All Groups),104.02,
2025-08-01,Tamil Nadu,combined,General Index (All Groups),103.36,
2025-08-01,Tamil Nadu,rural,General Index (All Groups),103.21,
2025-08-01,Tamil Nadu,urban,General Index (All Groups),103.47,
2025-08-01,Telangana,combined,General Index (All Groups),103.79,
2025-08-01,Telangana,rural,General Index (All Groups),103.71,
2025-08-01,Telangana,urban,General Index (All Groups),103.85,
2025-08-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),102.9,
2025-08-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),103.38,
2025-08-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),102.74,
2025-08-01,Tripura,combined,General Index (All Groups),101.72,
2025-08-01,Tripura,rural,General Index (All Groups),101.86,
2025-08-01,Tripura,urban,General Index (All Groups),101.27,
2025-08-01,Uttar Pradesh,combined,General Index (All Groups),104.24,
2025-08-01,Uttar Pradesh,rural,General Index (All Groups),104.25,
2025-08-01,Uttar Pradesh,urban,General Index (All Groups),104.22,
2025-08-01,Uttarakhand,combined,General Index (All Groups),104.52,
2025-08-01,Uttarakhand,rural,General Index (All Groups),105.15,
2025-08-01,Uttarakhand,urban,General Index (All Groups),103.45,
2025-08-01,West Bengal,combined,General Index (All Groups),104.27,
2025-08-01,West Bengal,rural,General Index (All Groups),104.47,
2025-08-01,West Bengal,urban,General Index (All Groups),104.03,
2025-09-01,All India,combined,General Index (All Groups),103.74,
2025-09-01,All India,rural,General Index (All Groups),103.8,
2025-09-01,All India,urban,General Index (All Groups),103.66,
2025-09-01,Andaman And Nicobar Islands,combined,General Index (All Groups),105.27,
