period,group_code,group_name,sector,index_value,inflation_pct
2026-07-01,09.5,Cultural goods,urban,105.98,2.4
2026-07-01,09.6,Cultural services,combined,105.24,2.35
2026-07-01,09.6,Cultural services,rural,104.95,2.72
2026-07-01,09.6,Cultural services,urban,105.42,2.11
2026-07-01,09.7,"Newspapers, books and stationery",combined,102.91,0.79
2026-07-01,09.7,"Newspapers, books and stationery",rural,103.1,0.97
2026-07-01,09.7,"Newspapers, books and stationery",urban,102.68,0.58
2026-07-01,10.1,Early childhood and primary education,combined,110.37,4.25
2026-07-01,10.1,Early childhood and primary education,rural,109.56,3.71
2026-07-01,10.1,Early childhood and primary education,urban,110.87,4.58
2026-07-01,10.2,Secondary education,combined,110.46,4.33
2026-07-01,10.2,Secondary education,rural,108.88,3.85
2026-07-01,10.2,Secondary education,urban,111.35,4.59
2026-07-01,10.4,Higher education,combined,106.48,3.52
2026-07-01,10.4,Higher education,rural,103.28,1.31
2026-07-01,10.4,Higher education,urban,108.22,4.71
2026-07-01,10.5,Education not defined by level,combined,104.03,1.52
2026-07-01,10.5,Education not defined by level,rural,103.75,1.29
2026-07-01,10.5,Education not defined by level,urban,104.31,1.75
2026-07-01,11.1,Food and beverage serving services,combined,112.72,7.75
2026-07-01,11.1,Food and beverage serving services,rural,112.09,7.8
2026-07-01,11.1,Food and beverage serving services,urban,113.27,7.71
2026-07-01,11.2,Accommodation services,combined,104.86,2.33
2026-07-01,11.2,Accommodation services,rural,103.91,1.95
2026-07-01,11.2,Accommodation services,urban,106.02,2.8
2026-07-01,13.1,Personal care,combined,105.98,2.24
2026-07-01,13.1,Personal care,rural,105.75,2.25
2026-07-01,13.1,Personal care,urban,106.29,2.22
2026-07-01,13.2,Other personal effects,combined,169.66,43.54
2026-07-01,13.2,Other personal effects,rural,174.11,46.57
2026-07-01,13.2,Other personal effects,urban,164.07,39.69
2026-07-01,13.9,Other services,combined,103.43,1.76
2026-07-01,13.9,Other services,rural,103.88,2.09
2026-07-01,13.9,Other services,urban,102.74,1.24
