period,state,inflation_pct
2026-05-01,Chandigarh,3.8
2026-05-01,Chhattisgarh,2.87
2026-05-01,Goa,2.47
2026-05-01,Gujarat,3.27
2026-05-01,Haryana,3.09
2026-05-01,Himachal Pradesh,3.05
2026-05-01,Jammu And Kashmir,2.84
2026-05-01,Jharkhand,3.86
2026-05-01,Karnataka,4.59
2026-05-01,Kerala,4.3
2026-05-01,Ladakh,3.14
2026-05-01,Lakshadweep,3.57
2026-05-01,Madhya Pradesh,4.17
2026-05-01,Maharashtra,3.35
2026-05-01,Manipur,2.79
2026-05-01,Meghalaya,2.7
2026-05-01,Mizoram,1.03
2026-05-01,Nagaland,3.3
2026-05-01,Nct Of Delhi,2.5
2026-05-01,Odisha,4.54
2026-05-01,Puducherry,5.0
2026-05-01,Punjab,3.34
2026-05-01,Rajasthan,4.17
2026-05-01,Sikkim,4.23
2026-05-01,Tamil Nadu,5.11
2026-05-01,Telangana,6.15
2026-05-01,The Dadra And Nagar Haveli And Daman And Diu,3.99
2026-05-01,Tripura,2.02
2026-05-01,Uttar Pradesh,3.97
2026-05-01,Uttarakhand,3.72
2026-05-01,West Bengal,3.44
2026-06-01,Andaman And Nicobar Islands,4.7
2026-06-01,Andhra Pradesh,5.39
2026-06-01,Arunachal Pradesh,2.47
2026-06-01,Assam,3.58
2026-06-01,Bihar,3.29
2026-06-01,Chandigarh,4.28
2026-06-01,Chhattisgarh,3.9
2026-06-01,Goa,3.09
2026-06-01,Gujarat,4.01
2026-06-01,Haryana,3.81
2026-06-01,Himachal Pradesh,3.33
2026-06-01,Jammu And Kashmir,3.52
2026-06-01,Jharkhand,4.29
2026-06-01,Karnataka,4.79
2026-06-01,Kerala,4.34
2026-06-01,Ladakh,4.03
2026-06-01,Lakshadweep,3.1
2026-06-01,Madhya Pradesh,5.09
2026-06-01,Maharashtra,3.82
2026-06-01,Manipur,2.94
2026-06-01,Meghalaya,2.63
2026-06-01,Mizoram,1.63
2026-06-01,Nagaland,2.83
2026-06-01,Nct Of Delhi,2.96
2026-06-01,Odisha,5.15
2026-06-01,Puducherry,5.39
2026-06-01,Punjab,3.83
2026-06-01,Rajasthan,4.7
2026-06-01,Sikkim,4.49
2026-06-01,Tamil Nadu,5.24
2026-06-01,Telangana,6.36
2026-06-01,The Dadra And Nagar Haveli And Daman And Diu,4.27
2026-06-01,Tripura,1.63
2026-06-01,Uttar Pradesh,4.56
2026-06-01,Uttarakhand,4.12
2026-06-01,West Bengal,3.95
2026-07-01,Andaman And Nicobar Islands,4.15
2026-07-01,Andhra Pradesh,5.72
2026-07-01,Arunachal Pradesh,2.56
2026-07-01,Assam,3.49
2026-07-01,Bihar,3.59
2026-07-01,Chandigarh,4.3
2026-07-01,Chhattisgarh,3.37
2026-07-01,Goa,3.35
2026-07-01,Gujarat,4.01
2026-07-01,Haryana,3.83
2026-07-01,Himachal Pradesh,3.63
2026-07-01,Jammu And Kashmir,3.87
